"","year","undiagnosed","diagnosed","unsuppressed","suppressed"
"1",2004,"213 (14-524)","130 (14-344)","289 (31-557)","9 (0-48)"
"2",2005,"241 (57-515)","144 (28-350)","293 (55-548)","10 (0-52)"
"3",2006,"264 (85-511)","158 (36-353)","234 (52-422)","13 (0-64)"
"4",2007,"295 (106-529)","185 (43-384)","202 (50-363)","14 (0-70)"
"5",2008,"314 (121-532)","149 (34-293)","220 (56-400)","19 (1-96)"
"6",2009,"332 (126-542)","166 (37-314)","185 (47-343)","22 (1-107)"
"7",2010,"351 (131-563)","168 (36-314)","179 (46-337)","25 (1-122)"
"8",2011,"369 (127-591)","169 (34-315)","183 (44-352)","28 (1-145)"
"9",2012,"386 (127-623)","144 (28-270)","174 (37-346)","34 (1-180)"
"10",2013,"398 (114-647)","166 (27-316)","146 (26-300)","37 (1-198)"
"11",2014,"410 (105-676)","125 (18-246)","136 (16-290)","45 (1-243)"
"12",2015,"411 (92-688)","110 (10-223)","138 (6-308)","50 (1-282)"
