"","year","undiagnosed","diagnosed","unsuppressed","suppressed"
"1",2004,"33.3% (2.2-81.3%)","20.5% (2.1-55%)","44.8% (4.8-84.9%)","1.4% (0-7.4%)"
"2",2005,"35.2% (8.1-76.2%)","21% (3.9-51.5%)","42.4% (8.3-76.8%)","1.5% (0-7.7%)"
"3",2006,"39.4% (12.6-74.8%)","23.5% (5.3-51.1%)","35.2% (7.5-65.4%)","1.9% (0.1-9.6%)"
"4",2007,"42.3% (15.1-74.1%)","26.4% (6.5-51.9%)","29.3% (6.7-55.3%)","2% (0.1-10.3%)"
"5",2008,"44.7% (17-74.4%)","21.3% (4.9-42.2%)","31.3% (8-56.2%)","2.7% (0.1-13.9%)"
"6",2009,"47.1% (18.6-76.1%)","23.5% (5.3-44.4%)","26.3% (6.6-48.9%)","3.1% (0.1-15.2%)"
"7",2010,"48.5% (18.2-76.9%)","23.3% (5-43.3%)","24.8% (6.4-46.9%)","3.4% (0.1-17.2%)"
"8",2011,"49.3% (17.3-78.1%)","22.6% (4.7-41.9%)","24.4% (5.8-46.4%)","3.8% (0.1-19.2%)"
"9",2012,"52.2% (17.6-81.9%)","19.6% (3.7-37.9%)","23.6% (5-46.3%)","4.6% (0.1-24.3%)"
"10",2013,"53.2% (15.7-84.8%)","22.1% (3.7-42.9%)","19.8% (3.3-41.3%)","4.9% (0.1-25.5%)"
"11",2014,"56.8% (15.5-88.5%)","17.7% (2.4-36.5%)","19.3% (2.2-42.8%)","6.2% (0.1-31.8%)"
"12",2015,"57.5% (13.9-91.1%)","15.8% (1.4-33.8%)","19.7% (0.8-45.2%)","7% (0.1-36.8%)"
