"year","undiagnosed","diagnosed","unsuppressed","suppressed"
2004,"14.4% (12.1-17%)","34.1% (27.1-41.9%)","20.6% (12.3-29.4%)","30.9% (24.4-38.4%)"
2005,"13.8% (11.4-16.4%)","34.4% (27.1-42.6%)","19.2% (10.7-28.3%)","32.6% (25.9-40.5%)"
2006,"13.1% (10.7-15.9%)","34.7% (27-43.3%)","15.4% (8-23.4%)","36.8% (30.7-43.9%)"
2007,"12.3% (10-15.1%)","37.4% (29.3-46.5%)","13.3% (6.5-20.7%)","36.9% (31.2-43.5%)"
2008,"11.6% (9.4-14.2%)","27.8% (19.3-37.2%)","14.6% (5.8-24.1%)","46.1% (38.6-54.7%)"
2009,"10.9% (8.9-13.4%)","29.3% (20.5-39.1%)","12.6% (4.4-21.5%)","47.2% (40.1-55.4%)"
2010,"10.3% (8.5-12.8%)","27.1% (18.1-37.2%)","12.2% (3.2-22%)","50.4% (42.4-59.5%)"
2011,"9.9% (8-12.4%)","25.5% (16.2-36%)","11.6% (2.5-21.7%)","53% (44.8-62.4%)"
2012,"9.5% (7.6-12.1%)","20% (10.5-30.7%)","10.6% (0.5-21.7%)","59.9% (50.6-70.6%)"
2013,"9.2% (7.2-11.9%)","21.4% (11.7-32.5%)","8.3% (0-18.8%)","61.1% (52-71.3%)"
2014,"9% (6.7-12.1%)","15.5% (5.6-26.8%)","7.4% (0-18.4%)","68.2% (58.4-79.3%)"
